!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
families	{"ud.noun": 1.0}
family	{"ud.noun": 0.9574468085106383, "ud.adv": 0.010638297872340425, "ud.propn": 0.031914893617021274}
famous	{"ud.adj": 1.0}
fan	{"ud.noun": 1.0}
fancy	{"ud.adj": 0.6, "ud.noun": 0.2, "ud.propn": 0.2}
fans	{"ud.noun": 1.0}
fantastic	{"ud.adj": 1.0}
far	{"ud.adv": 0.9, "ud.propn": 0.04285714285714286, "ud.adj": 0.05714285714285714}
farce	{"ud.noun": 1.0}
fare	{"ud.noun": 1.0}
farms	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
farrier	{"ud.noun": 1.0}
fascinating	{"ud.adj": 1.0}
fashion	{"ud.noun": 1.0}
fashioned	{"ud.adj": 1.0}
fast	{"ud.adj": 0.8125, "ud.adv": 0.1875}
faster	{"ud.adj": 0.6666666666666666, "ud.adv": 0.3333333333333333}
fat	{"ud.adj": 0.8333333333333334, "ud.noun": 0.16666666666666666}
father	{"ud.noun": 0.95, "ud.propn": 0.05}
fault	{"ud.noun": 1.0}
favor	{"ud.noun": 0.8181818181818182, "ud.verb": 0.18181818181818182}
favorable	{"ud.adj": 1.0}
favorite	{"ud.adj": 0.5882352941176471, "ud.noun": 0.4117647058823529}
fax	{"ud.noun": 0.8695652173913043, "ud.verb": 0.13043478260869565}
faxed	{"ud.verb": 1.0}
fbi	{"ud.propn": 1.0}
fe	{"ud.propn": 1.0}
fear	{"ud.verb": 0.21052631578947367, "ud.noun": 0.7894736842105263}
feared	{"ud.verb": 1.0}
feasible	{"ud.adj": 1.0}
feathered	{"ud.adj": 1.0}
feathers	{"ud.noun": 1.0}
feature	{"ud.verb": 0.75, "ud.noun": 0.25}
feb	{"ud.propn": 1.0}
feb.	{"ud.propn": 1.0}
february	{"ud.propn": 1.0}
fed	{"ud.adj": 0.3333333333333333, "ud.verb": 0.6666666666666666}
federal	{"ud.propn": 0.22580645161290322, "ud.adj": 0.7741935483870968}
fee	{"ud.noun": 0.9090909090909091, "ud.propn": 0.09090909090909091}
feed	{"ud.verb": 0.8285714285714286, "ud.noun": 0.17142857142857143}
feedback	{"ud.noun": 1.0}
feeding	{"ud.verb": 0.5454545454545454, "ud.noun": 0.45454545454545453}
feel	{"ud.verb": 0.9705882352941176, "ud.noun": 0.029411764705882353}
feeling	{"ud.noun": 0.5, "ud.verb": 0.5}
feels	{"ud.verb": 1.0}
fees	{"ud.noun": 1.0}
feet	{"ud.noun": 1.0}
fell	{"ud.verb": 1.0}
fellow	{"ud.adj": 0.875, "ud.noun": 0.125}
felt	{"ud.verb": 1.0}
female	{"ud.adj": 0.47058823529411764, "ud.noun": 0.5294117647058824}
females	{"ud.noun": 1.0}
fence	{"ud.noun": 1.0}
ferc	{"ud.propn": 0.8888888888888888, "ud.noun": 0.1111111111111111}
ferrous	{"ud.propn": 1.0}
fever	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
few	{"ud.adj": 0.9814814814814815, "ud.noun": 0.018518518518518517}
field	{"ud.noun": 1.0}
fields	{"ud.noun": 1.0}
fifteen	{"ud.propn": 0.3333333333333333, "ud.num": 0.6666666666666666}
fifty	{"ud.num": 1.0}
fight	{"ud.verb": 0.8, "ud.noun": 0.2}
fighter	{"ud.noun": 1.0}
fighting	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
figure	{"ud.verb": 0.9444444444444444, "ud.noun": 0.05555555555555555}
figured	{"ud.verb": 1.0}
figures	{"ud.noun": 0.7777777777777778, "ud.verb": 0.2222222222222222}
file	{"ud.verb": 0.09302325581395349, "ud.noun": 0.9069767441860465}
filed	{"ud.verb": 1.0}
files	{"ud.noun": 1.0}
filing	{"ud.noun": 0.8571428571428571, "ud.verb": 0.14285714285714285}
fill	{"ud.verb": 1.0}
filled	{"ud.verb": 1.0}
filling	{"ud.verb": 1.0}
film	{"ud.noun": 1.0}
filmed	{"ud.verb": 1.0}
filter	{"ud.noun": 1.0}
filters	{"ud.noun": 0.6, "ud.verb": 0.4}
final	{"ud.adj": 1.0}
finally	{"ud.adv": 1.0}
finance	{"ud.verb": 0.0625, "ud.propn": 0.1875, "ud.noun": 0.75}
financed	{"ud.verb": 1.0}
finances	{"ud.noun": 1.0}
financial	{"ud.adj": 0.9130434782608695, "ud.propn": 0.08695652173913043}
financially	{"ud.adv": 1.0}
financing	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
find	{"ud.verb": 0.9918032786885246, "ud.noun": 0.00819672131147541}
finding	{"ud.noun": 0.14285714285714285, "ud.verb": 0.8571428571428571}
fine	{"ud.adj": 0.813953488372093, "ud.propn": 0.023255813953488372, "ud.adv": 0.11627906976744186, "ud.intj": 0.046511627906976744}
finger	{"ud.verb": 0.125, "ud.noun": 0.875}
fingers	{"ud.noun": 1.0}
finish	{"ud.verb": 0.6, "ud.noun": 0.4}
finished	{"ud.verb": 0.8, "ud.adj": 0.2}
fire	{"ud.noun": 0.7333333333333333, "ud.propn": 0.26666666666666666}
fired	{"ud.verb": 1.0}
firm	{"ud.noun": 0.875, "ud.adj": 0.125}
firmly	{"ud.adv": 1.0}
firms	{"ud.noun": 1.0}
first	{"ud.adj": 0.5964912280701754, "ud.adv": 0.3684210526315789, "ud.propn": 0.017543859649122806, "ud.noun": 0.017543859649122806}
fiscal	{"ud.adj": 1.0}
fish	{"ud.noun": 0.7407407407407407, "ud.propn": 0.14814814814814814, "ud.adj": 0.1111111111111111}
fisheries	{"ud.noun": 1.0}
fit	{"ud.noun": 0.10526315789473684, "ud.verb": 0.8421052631578947, "ud.adj": 0.05263157894736842}
fitness	{"ud.propn": 0.75, "ud.noun": 0.25}
five	{"ud.num": 1.0}
fix	{"ud.verb": 1.0}
fixed	{"ud.verb": 0.96, "ud.adj": 0.04}
fixing	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
fixtures	{"ud.noun": 1.0}
flakes	{"ud.noun": 1.0}
flat	{"ud.adj": 0.6666666666666666, "ud.adv": 0.16666666666666666, "ud.noun": 0.16666666666666666}
flavor	{"ud.noun": 1.0}
flds	{"ud.propn": 1.0}
fleeing	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
flew	{"ud.verb": 1.0}
flight	{"ud.noun": 1.0}
flights	{"ud.noun": 1.0}
floating	{"ud.verb": 0.9230769230769231, "ud.noun": 0.07692307692307693}
flood	{"ud.noun": 1.0}
flooding	{"ud.noun": 1.0}
floor	{"ud.noun": 1.0}
flooring	{"ud.noun": 1.0}
florida	{"ud.propn": 1.0}
flow	{"ud.propn": 0.25, "ud.noun": 0.5, "ud.verb": 0.25}
flowed	{"ud.verb": 1.0}
flowers	{"ud.noun": 0.9, "ud.propn": 0.1}
flowing	{"ud.verb": 1.0}
flows	{"ud.verb": 0.8, "ud.noun": 0.2}
fluid	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
fluids	{"ud.noun": 1.0}
fly	{"ud.verb": 0.875, "ud.noun": 0.125}
flying	{"ud.verb": 0.8571428571428571, "ud.propn": 0.14285714285714285}
focus	{"ud.verb": 0.4, "ud.noun": 0.6}
focused	{"ud.verb": 0.875, "ud.adj": 0.125}
fold	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
folks	{"ud.noun": 1.0}
follow	{"ud.verb": 0.88, "ud.noun": 0.12}
followed	{"ud.verb": 1.0}
following	{"ud.verb": 1.0}
follows	{"ud.verb": 1.0}
food	{"ud.noun": 0.9886363636363636, "ud.propn": 0.011363636363636364}
foods	{"ud.noun": 0.9090909090909091, "ud.propn": 0.09090909090909091}
fool	{"ud.noun": 0.2857142857142857, "ud.verb": 0.7142857142857143}
foot	{"ud.verb": 0.08333333333333333, "ud.noun": 0.8333333333333334, "ud.propn": 0.08333333333333333}
football	{"ud.noun": 1.0}
for	{"ud.adp": 0.9201954397394136, "ud.sconj": 0.0738327904451683, "ud.x": 0.002171552660152009, "ud.cconj": 0.003257328990228013, "ud.adv": 0.0005428881650380022}
forbidding	{"ud.verb": 1.0}
force	{"ud.noun": 0.5806451612903226, "ud.propn": 0.22580645161290322, "ud.verb": 0.1935483870967742}
forced	{"ud.verb": 1.0}
forces	{"ud.noun": 1.0}
forecast	{"ud.noun": 0.3333333333333333, "ud.verb": 0.6666666666666666}
foreign	{"ud.adj": 0.9375, "ud.propn": 0.0625}
foreigner	{"ud.noun": 1.0}
foreigners	{"ud.noun": 1.0}
forest	{"ud.noun": 0.25, "ud.propn": 0.75}
forever	{"ud.adv": 1.0}
forget	{"ud.verb": 1.0}
forgot	{"ud.verb": 1.0}
form	{"ud.noun": 0.9, "ud.adp": 0.025, "ud.verb": 0.075}
formal	{"ud.adj": 1.0}
format	{"ud.noun": 1.0}
formed	{"ud.verb": 1.0}
former	{"ud.adj": 1.0}
forming	{"ud.verb": 1.0}
forms	{"ud.noun": 1.0}
forster	{"ud.propn": 1.0}
forth	{"ud.adv": 1.0}
fortier	{"ud.propn": 1.0}
forum	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
forward	{"ud.adv": 0.603448275862069, "ud.verb": 0.29310344827586204, "ud.adj": 0.10344827586206896}
forwarded	{"ud.verb": 1.0}
forwarding	{"ud.noun": 0.25, "ud.verb": 0.75}
found	{"ud.verb": 1.0}
founded	{"ud.verb": 1.0}
founder	{"ud.noun": 1.0}
fountain	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
four	{"ud.num": 1.0}
fourth	{"ud.adj": 0.75, "ud.noun": 0.25}
fps	{"ud.noun": 1.0}
france	{"ud.propn": 1.0}
francis	{"ud.propn": 1.0}
francisco	{"ud.propn": 1.0}
frank	{"ud.propn": 1.0}
fred	{"ud.propn": 1.0}
free	{"ud.adj": 1.0}
freedom	{"ud.noun": 1.0}
freeman	{"ud.propn": 1.0}
freese	{"ud.propn": 1.0}
freeze	{"ud.noun": 0.5555555555555556, "ud.verb": 0.3333333333333333, "ud.adj": 0.1111111111111111}
french	{"ud.adj": 0.8, "ud.propn": 0.2}
frequent	{"ud.adj": 0.625, "ud.verb": 0.375}
frequently	{"ud.adv": 1.0}
fresh	{"ud.adj": 0.8636363636363636, "ud.propn": 0.045454545454545456, "ud.adv": 0.09090909090909091}
fri	{"ud.propn": 1.0}
friday	{"ud.propn": 1.0}
fridays	{"ud.propn": 1.0}
fried	{"ud.verb": 1.0}
friend	{"ud.noun": 1.0}
friendly	{"ud.adj": 0.9814814814814815, "ud.propn": 0.018518518518518517}
friends	{"ud.noun": 0.9795918367346939, "ud.propn": 0.02040816326530612}
fries	{"ud.noun": 1.0}
from	{"ud.adp": 0.9402092675635276, "ud.sconj": 0.059790732436472344}
front	{"ud.adj": 0.2916666666666667, "ud.noun": 0.5625, "ud.propn": 0.125, "ud.adv": 0.020833333333333332}
frontier	{"ud.propn": 1.0}
frozen	{"ud.verb": 0.75, "ud.adj": 0.25}
fruit	{"ud.noun": 1.0}
frustrated	{"ud.adj": 0.75, "ud.verb": 0.25}
frustrating	{"ud.adj": 1.0}
fry	{"ud.noun": 1.0}
ft	{"ud.noun": 1.0}
ft.	{"ud.propn": 1.0}
fucking	{"ud.verb": 0.3333333333333333, "ud.adv": 0.3333333333333333, "ud.adj": 0.3333333333333333}
fuel	{"ud.noun": 0.75, "ud.propn": 0.16666666666666666, "ud.verb": 0.08333333333333333}
fujairah	{"ud.propn": 1.0}
full	{"ud.adj": 0.9811320754716981, "ud.adv": 0.018867924528301886}
fully	{"ud.adv": 1.0}
fun	{"ud.adj": 0.4, "ud.noun": 0.6}
function	{"ud.noun": 0.75, "ud.verb": 0.25}
functional	{"ud.adj": 1.0}
functionality	{"ud.noun": 1.0}
functions	{"ud.noun": 1.0}
fund	{"ud.noun": 0.875, "ud.propn": 0.125}
fundamental	{"ud.adj": 1.0}
fundamentalist	{"ud.adj": 0.8, "ud.propn": 0.2}
fundamentalists	{"ud.noun": 1.0}
funded	{"ud.verb": 1.0}
funding	{"ud.noun": 0.7272727272727273, "ud.verb": 0.2727272727272727}
funds	{"ud.verb": 0.14285714285714285, "ud.noun": 0.8571428571428571}
funeral	{"ud.noun": 1.0}
fungus	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
funny	{"ud.adj": 1.0}
furnace	{"ud.noun": 1.0}
furniture	{"ud.noun": 0.7692307692307693, "ud.propn": 0.15384615384615385, "ud.adj": 0.07692307692307693}
further	{"ud.adv": 0.5641025641025641, "ud.adj": 0.3333333333333333, "ud.verb": 0.10256410256410256}
fusionretail	{"ud.propn": 1.0}
fuss	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
future	{"ud.noun": 0.6785714285714286, "ud.adj": 0.25, "ud.propn": 0.07142857142857142}
fx	{"ud.noun": 1.0}
fyi	{"ud.adv": 1.0}
ga	{"ud.noun": 0.36363636363636365, "ud.x": 0.09090909090909091, "ud.propn": 0.5454545454545454}
gain	{"ud.verb": 0.75, "ud.noun": 0.125, "ud.adv": 0.125}
gained	{"ud.verb": 1.0}
gains	{"ud.noun": 1.0}
galleries	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
gallery	{"ud.noun": 0.5, "ud.propn": 0.5}
gallon	{"ud.noun": 1.0}
game	{"ud.noun": 0.9777777777777777, "ud.verb": 0.022222222222222223}
games	{"ud.noun": 1.0}
gaming	{"ud.verb": 0.3333333333333333, "ud.propn": 0.3333333333333333, "ud.noun": 0.3333333333333333}
gang	{"ud.noun": 1.0}
gaps	{"ud.noun": 1.0}
garage	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
garcia	{"ud.propn": 1.0}
garden	{"ud.propn": 0.75, "ud.noun": 0.25}
gas	{"ud.noun": 0.7538461538461538, "ud.propn": 0.2, "ud.x": 0.03076923076923077, "ud.verb": 0.015384615384615385}
gastroenteritis	{"ud.noun": 1.0}
gate	{"ud.noun": 1.0}
gates	{"ud.propn": 0.5, "ud.noun": 0.5}
gathering	{"ud.verb": 1.0}
gave	{"ud.verb": 1.0}
gay	{"ud.adj": 0.7142857142857143, "ud.propn": 0.14285714285714285, "ud.noun": 0.14285714285714285}
gcp	{"ud.noun": 1.0}
gda	{"ud.noun": 1.0}
gdp	{"ud.propn": 0.2727272727272727, "ud.noun": 0.7272727272727273}
gem	{"ud.noun": 1.0}
gen.	{"ud.propn": 1.0}
gender	{"ud.noun": 1.0}
gene	{"ud.noun": 1.0}
general	{"ud.adj": 0.4358974358974359, "ud.noun": 0.15384615384615385, "ud.propn": 0.41025641025641024}
generally	{"ud.adv": 1.0}
generate	{"ud.verb": 1.0}
generated	{"ud.verb": 1.0}
generating	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
generation	{"ud.noun": 1.0}
generations	{"ud.noun": 1.0}
generators	{"ud.noun": 1.0}
generic	{"ud.adj": 1.0}
gentle	{"ud.propn": 0.3333333333333333, "ud.adj": 0.6666666666666666}
gently	{"ud.adv": 1.0}
george	{"ud.propn": 1.0}
gerald	{"ud.propn": 1.0}
german	{"ud.adj": 0.875, "ud.propn": 0.125}
germany	{"ud.propn": 1.0}
gerry	{"ud.propn": 1.0}
get	{"ud.verb": 0.9493670886075949, "ud.aux": 0.05063291139240506}
gets	{"ud.verb": 0.8571428571428571, "ud.aux": 0.14285714285714285}
getting	{"ud.verb": 0.9078947368421053, "ud.aux": 0.09210526315789473}
gift	{"ud.noun": 1.0}
gifts	{"ud.noun": 1.0}
gimp	{"ud.propn": 1.0}
giraffe	{"ud.noun": 1.0}
girl	{"ud.noun": 1.0}
girlfriend	{"ud.noun": 1.0}
girls	{"ud.noun": 1.0}
give	{"ud.verb": 0.9921259842519685, "ud.noun": 0.007874015748031496}
given	{"ud.verb": 0.9761904761904762, "ud.noun": 0.023809523809523808}
gives	{"ud.verb": 1.0}
giving	{"ud.verb": 1.0}
glad	{"ud.adj": 1.0}
glass	{"ud.noun": 0.8, "ud.propn": 0.2}
glen	{"ud.propn": 1.0}
global	{"ud.propn": 0.21739130434782608, "ud.adj": 0.782608695652174}
globe	{"ud.propn": 0.2, "ud.noun": 0.8}
gmat	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
go	{"ud.verb": 0.9857142857142858, "ud.noun": 0.010714285714285714, "ud.propn": 0.0035714285714285713}
goal	{"ud.noun": 1.0}
goals	{"ud.noun": 1.0}
god	{"ud.propn": 0.9354838709677419, "ud.noun": 0.06451612903225806}
goes	{"ud.verb": 1.0}
going	{"ud.verb": 0.9948979591836735, "ud.adj": 0.00510204081632653}
golden	{"ud.adj": 0.8, "ud.noun": 0.2}
gon	{"ud.verb": 1.0}
gone	{"ud.verb": 0.8518518518518519, "ud.adj": 0.14814814814814814}
gonzales	{"ud.propn": 1.0}
good	{"ud.adj": 0.9594594594594594, "ud.noun": 0.02364864864864865, "ud.intj": 0.0033783783783783786, "ud.propn": 0.010135135135135136, "ud.adv": 0.0033783783783783786}
goods	{"ud.noun": 1.0}
goodwyn	{"ud.propn": 1.0}
google	{"ud.propn": 0.875, "ud.verb": 0.125}
googlenut	{"ud.propn": 1.0}
gop	{"ud.propn": 1.0}
got	{"ud.verb": 0.9318181818181818, "ud.aux": 0.06818181818181818}
gotten	{"ud.verb": 1.0}
government	{"ud.noun": 0.9841269841269841, "ud.propn": 0.015873015873015872}
governmental	{"ud.adj": 1.0}
governments	{"ud.noun": 1.0}
governor	{"ud.noun": 0.2631578947368421, "ud.propn": 0.7368421052631579}
gown	{"ud.noun": 1.0}
grab	{"ud.verb": 1.0}
gracee	{"ud.propn": 1.0}
grades	{"ud.noun": 1.0}
graduate	{"ud.verb": 0.23529411764705882, "ud.propn": 0.23529411764705882, "ud.noun": 0.5294117647058824}
graduated	{"ud.verb": 1.0}
grain	{"ud.noun": 1.0}
grand	{"ud.propn": 0.7, "ud.adj": 0.3}
grandma	{"ud.noun": 1.0}
grandmother	{"ud.noun": 1.0}
grant	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
granted	{"ud.verb": 1.0}
graphic	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
grateful	{"ud.adj": 1.0}
gray	{"ud.propn": 0.625, "ud.noun": 0.125, "ud.adj": 0.25}
great	{"ud.adj": 0.981042654028436, "ud.propn": 0.014218009478672985, "ud.adv": 0.004739336492890996}
greater	{"ud.adj": 1.0}
greatest	{"ud.adj": 1.0}
greatly	{"ud.adv": 1.0}
green	{"ud.propn": 0.2631578947368421, "ud.noun": 0.15789473684210525, "ud.adj": 0.5789473684210527}
greendale	{"ud.propn": 1.0}
greeted	{"ud.verb": 1.0}
greetings	{"ud.noun": 1.0}
gregg	{"ud.propn": 1.0}
grew	{"ud.verb": 1.0}
grey	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
grid	{"ud.noun": 1.0}
grill	{"ud.propn": 0.375, "ud.noun": 0.625}
grinder	{"ud.noun": 1.0}
grip	{"ud.noun": 1.0}
grocery	{"ud.noun": 1.0}
groom	{"ud.propn": 0.625, "ud.verb": 0.375}
gross	{"ud.adj": 0.7142857142857143, "ud.noun": 0.2857142857142857}
ground	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
grounds	{"ud.noun": 1.0}
group	{"ud.noun": 0.8354430379746836, "ud.propn": 0.16455696202531644}
groups	{"ud.noun": 1.0}
grow	{"ud.verb": 1.0}
growing	{"ud.verb": 1.0}
grown	{"ud.verb": 1.0}
growth	{"ud.noun": 1.0}
gtee	{"ud.noun": 1.0}
gu'ud	{"ud.propn": 1.0}
guantanamo	{"ud.propn": 1.0}
guarantee	{"ud.verb": 0.75, "ud.noun": 0.25}
guaranteed	{"ud.verb": 1.0}
guaranty	{"ud.noun": 1.0}
guard	{"ud.propn": 0.8260869565217391, "ud.noun": 0.13043478260869565, "ud.verb": 0.043478260869565216}
guards	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
guardsmen	{"ud.noun": 1.0}
guerrillas	{"ud.noun": 1.0}
guess	{"ud.verb": 0.9375, "ud.noun": 0.0625}
guest	{"ud.noun": 1.0}
guests	{"ud.noun": 1.0}
guidance	{"ud.noun": 1.0}
guide	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
guidelines	{"ud.noun": 1.0}
guild	{"ud.propn": 0.8571428571428571, "ud.noun": 0.14285714285714285}
guilds	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
guilty	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
guinea	{"ud.noun": 1.0}
guitar	{"ud.noun": 1.0}
gulf	{"ud.propn": 0.5769230769230769, "ud.noun": 0.4230769230769231}
gun	{"ud.noun": 1.0}
guns	{"ud.noun": 1.0}
guy	{"ud.noun": 0.9736842105263158, "ud.adv": 0.02631578947368421}
guys	{"ud.noun": 0.9787234042553191, "ud.propn": 0.02127659574468085}
gw	{"ud.propn": 1.0}
gym	{"ud.noun": 1.0}
h	{"ud.propn": 0.2, "ud.x": 0.6, "ud.noun": 0.2}
habitat	{"ud.noun": 1.0}
habits	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
had	{"ud.aux": 0.3149284253578732, "ud.verb": 0.6850715746421268}
haha	{"ud.intj": 1.0}
hair	{"ud.noun": 0.975609756097561, "ud.propn": 0.024390243902439025}
haircut	{"ud.noun": 1.0}
halal	{"ud.adj": 1.0}
half	{"ud.noun": 0.5, "ud.adv": 0.058823529411764705, "ud.adj": 0.11764705882352941, "ud.x": 0.058823529411764705, "ud.det": 0.23529411764705882, "ud.propn": 0.029411764705882353}
hall	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
halliburton	{"ud.propn": 1.0}
ham	{"ud.noun": 0.4, "ud.propn": 0.6}
hamas	{"ud.propn": 1.0}
hambali	{"ud.propn": 1.0}
hamilton	{"ud.propn": 1.0}
hammer	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
hamster	{"ud.noun": 1.0}
hamsters	{"ud.noun": 1.0}
hand	{"ud.noun": 0.9565217391304348, "ud.propn": 0.021739130434782608, "ud.verb": 0.021739130434782608}
handed	{"ud.verb": 1.0}
handful	{"ud.noun": 1.0}
handle	{"ud.verb": 0.9047619047619048, "ud.noun": 0.09523809523809523}
handled	{"ud.verb": 1.0}
handling	{"ud.noun": 0.1, "ud.verb": 0.9}
hands	{"ud.noun": 1.0}
handy	{"ud.adj": 1.0}
hang	{"ud.verb": 1.0}
hanging	{"ud.verb": 0.8, "ud.noun": 0.2}
happen	{"ud.verb": 1.0}
happened	{"ud.verb": 1.0}
happening	{"ud.verb": 1.0}
happens	{"ud.verb": 1.0}
happier	{"ud.adj": 1.0}
happiness	{"ud.noun": 1.0}
happy	{"ud.adj": 1.0}
hard	{"ud.adv": 0.32786885245901637, "ud.adj": 0.6721311475409836}
hardest	{"ud.adj": 1.0}
hardness	{"ud.noun": 1.0}
harm	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
harness	{"ud.noun": 1.0}
harris	{"ud.propn": 1.0}
harrison	{"ud.propn": 1.0}
harry	{"ud.propn": 1.0}
harvard	{"ud.propn": 1.0}
has	{"ud.verb": 0.3179190751445087, "ud.aux": 0.6820809248554913}
hassle	{"ud.noun": 0.75, "ud.verb": 0.25}
hate	{"ud.verb": 0.9090909090909091, "ud.noun": 0.09090909090909091}
hated	{"ud.verb": 1.0}
hates	{"ud.verb": 1.0}
hatfill	{"ud.propn": 1.0}
hatred	{"ud.noun": 1.0}
hats	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
hav	{"ud.aux": 0.3333333333333333, "ud.verb": 0.6666666666666666}
have	{"ud.aux": 0.4311994113318617, "ud.verb": 0.5688005886681383}
haven	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
having	{"ud.verb": 0.9, "ud.aux": 0.1}
hay	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
he	{"ud.pron": 1.0}
head	{"ud.noun": 0.9428571428571428, "ud.verb": 0.05714285714285714}
headed	{"ud.verb": 1.0}
heading	{"ud.verb": 0.8571428571428571, "ud.noun": 0.14285714285714285}
headquarters	{"ud.noun": 1.0}
heads	{"ud.noun": 0.8333333333333334, "ud.verb": 0.16666666666666666}
healing	{"ud.verb": 0.75, "ud.noun": 0.25}
health	{"ud.noun": 0.9032258064516129, "ud.propn": 0.0967741935483871}
healthier	{"ud.adj": 1.0}
healthy	{"ud.adj": 1.0}
hear	{"ud.verb": 1.0}
heard	{"ud.verb": 0.90625, "ud.propn": 0.09375}
hearing	{"ud.verb": 0.4, "ud.noun": 0.6}
hearings	{"ud.noun": 1.0}
heart	{"ud.noun": 1.0}
hearts	{"ud.noun": 1.0}
heat	{"ud.noun": 0.9047619047619048, "ud.verb": 0.09523809523809523}
heater	{"ud.noun": 1.0}
heather	{"ud.propn": 0.75, "ud.noun": 0.25}
heating	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
heaven	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
heavily	{"ud.adv": 1.0}
heavy	{"ud.adj": 1.0}
heel	{"ud.noun": 0.8, "ud.verb": 0.2}
heels	{"ud.noun": 1.0}
height	{"ud.noun": 1.0}
held	{"ud.verb": 1.0}
helicopters	{"ud.noun": 1.0}
hell	{"ud.noun": 0.7272727272727273, "ud.intj": 0.09090909090909091, "ud.propn": 0.18181818181818182}
hello	{"ud.intj": 1.0}
help	{"ud.verb": 0.6818181818181818, "ud.noun": 0.3181818181818182}
helped	{"ud.verb": 1.0}
helpful	{"ud.adj": 1.0}
helping	{"ud.verb": 1.0}
helps	{"ud.verb": 1.0}
hence	{"ud.adv": 1.0}
hens	{"ud.noun": 1.0}
her	{"ud.pron": 1.0}
here	{"ud.adv": 0.994413407821229, "ud.verb": 0.00558659217877095}
herself	{"ud.pron": 1.0}
hesitate	{"ud.verb": 1.0}
hewlett	{"ud.propn": 1.0}
hey	{"ud.intj": 1.0}
hh	{"ud.noun": 0.75, "ud.propn": 0.25}
hi	{"ud.intj": 1.0}
hibernation	{"ud.noun": 1.0}
hidden	{"ud.adj": 0.4444444444444444, "ud.verb": 0.3333333333333333, "ud.propn": 0.2222222222222222}
hide	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
hiding	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
high	{"ud.adj": 0.8507462686567164, "ud.propn": 0.04477611940298507, "ud.intj": 0.014925373134328358, "ud.adv": 0.05970149253731343, "ud.noun": 0.029850746268656716}
higher	{"ud.propn": 0.07142857142857142, "ud.adj": 0.7857142857142857, "ud.adv": 0.14285714285714285}
highest	{"ud.adj": 0.8, "ud.adv": 0.2}
highlighting	{"ud.verb": 1.0}
highly	{"ud.adv": 1.0}
hijackers	{"ud.noun": 1.0}
hill	{"ud.propn": 0.3333333333333333, "ud.adv": 0.3333333333333333, "ud.noun": 0.3333333333333333}
hiller	{"ud.propn": 1.0}
hilton	{"ud.propn": 1.0}
him	{"ud.pron": 1.0}
himself	{"ud.pron": 1.0}
hindu	{"ud.adj": 0.8, "ud.propn": 0.2}
hino	{"ud.propn": 1.0}
hints	{"ud.noun": 1.0}
hire	{"ud.verb": 1.0}
hiring	{"ud.verb": 1.0}
